cycles,usage
344126,20
357036,180
370753,196
383761,212
396775,228
409792,244
422814,260
435841,276
448872,292
461940,308
475035,324
488083,344
501138,353
513834,364
526995,374
540129,386
553312,394
566008,406
579073,428
592274,459
605317,747
620695,759
634431,774
648427,789
662435,802
676468,818
690565,833
704226,853
717308,897
730571,946
743730,960
757023,1014
770240,1034
783589,1081
796715,1089
809497,1134
822597,1140
835303,1160
848576,1176
861745,1272
875404,1320
888833,1335
902358,1360
916024,1379
929730,1399
943152,1403
955850,1443
969523,1491
982478,1523
995315,1779
1008957,1747
1019898,1491
1030912,1443
1042386,1491
1055772,1523
1069039,1779
1110688,1747
1121629,1491
1132643,1443
1144117,1491
1157502,1523
1170769,1779
1216901,1747
1227842,1491
1238856,1443
1250330,1491
1263715,1523
1276983,1779
1338169,1747
1349111,1491
1360124,1443
1371598,1491
1384984,1523
1398251,1779
1416723,1747
1427665,1491
1438679,1443
1449798,1427
1460733,1411
1471704,1395
1482676,1379
1493648,1363
1504619,1347
1515591,1331
1526563,1315
1537536,1299
1549056,1523
1563192,1595
1576887,1607
1590159,1611
1603234,1651
1616540,92259
1805052,92455
1835472,92459
1848274,92475
1861589,92783
1875950,92791
1953921,92791
1966771,102583
1999637,102839
2030207,102967
2044414,103223
2058674,103351
2072936,103479
38899159,103223
38910572,93431
38922341,93431
38949597,93235
38960963,2627
38972366,2587
38983731,2583
38995142,2567
39006515,2563
39017958,2255
39029415,2183
39040779,2175
39052181,2163
39063616,1939
39075073,1930
39086448,1919
39097853,1909
39109258,1897
39120663,1889
39132065,1869
39143505,1581
39154890,1537
39166259,1523
39177626,1474
39189066,1454
39200432,1400
39211872,1392
39223238,1345
39234691,1339
39246058,1294
39257516,1274
39268935,1254
39280360,1238
39291786,1142
39303209,1094
39314640,1054
39326062,1050
39337480,1030
39348899,1011
39360319,986
39371738,971
39383205,956
39394618,940
39406032,927
39417446,912
39428861,897
39440276,885
39451740,854
39463154,832
39474568,820
39486025,660
39497470,640
39508887,640
