cycles,usage
11336,1070
15146,1099
20106,1105
24403,1112
29097,1120
34632,1129
41107,1133
45357,1170
49756,1172
53500,1198
57574,1202
61824,1231
67252,1233
71028,1259
75121,1263
79150,1270
84506,1272
88301,1298
94955,1300
98771,1326
102310,1328
108473,1330
112285,1356
115911,1358
122090,1360
125904,1386
129529,1388
138257,1507
156212,1511
161720,1515
167468,1519
172897,1523
178326,1527
183755,1531
188979,1535
198849,1727
206221,1983
303618,1727
307873,1983
891205,1727
895460,1983
1214840,1727
1219112,1983
1892209,1727
1928502,2127
