cycles,usage
11336,1070
15146,1099
20106,1105
24403,1112
29097,1120
34632,1129
41107,1133
45357,1170
49756,1172
53500,1198
57574,1202
61824,1231
67252,1233
71028,1259
75121,1263
79150,1270
84506,1272
88301,1298
94955,1300
98771,1326
102310,1328
108473,1330
112285,1356
115911,1358
122090,1360
125904,1386
129529,1388
138257,1507
156212,1511
161720,1515
167468,1519
172897,1523
178326,1527
183755,1531
188979,1535
198851,1727
206223,1983
303126,1727
307381,1983
996826,1727
1001081,1983
1322114,1727
1326386,1983
2034302,1727
2070839,2751
