cycles,usage
11336,1070
15146,1099
20346,1111
24641,1118
29337,1126
35110,1136
41499,1144
46628,1153
52829,1164
60756,1168
65004,1205
69405,1207
73147,1233
77223,1237
81473,1266
86903,1268
90681,1294
94772,1298
98803,1305
104157,1307
107954,1333
112021,1337
116048,1344
121416,1346
125211,1372
129302,1376
133329,1385
138969,1387
142764,1413
146850,1417
150898,1426
156630,1428
160442,1454
167456,1456
171289,1482
174830,1484
181121,1486
184956,1512
188495,1514
194802,1516
198635,1542
202289,1544
208686,1546
212536,1572
216217,1574
224985,1727
246585,1741
252216,1745
257834,1749
263623,1753
269384,1757
275268,1761
280721,1765
286174,1769
291627,1773
296875,1777
306766,1969
316715,2225
410419,1969
414695,2225
609337,1969
613613,2225
4179108,1969
4183384,2225
4890805,1969
4895098,2225
8491715,1969
8538852,2097
8543347,2225
