cycle func size addr
12459 malloc  4 518
16842 malloc  35 51e
22278 malloc  12 543
27034 malloc  8 551
32107 malloc  9 55b
37937 malloc  9 566
43641 malloc  11 571
50489 malloc  10 57e
56949 malloc  12 58a
64786 malloc  4 598
69512 malloc  37 59e
74694 malloc  2 5c5
79029 malloc  28 5c9
83594 malloc  4 5e7
88322 malloc  29 5ed
94457 realloc  4 5c5 60c
98824 malloc  28 612
103402 malloc  4 630
107905 malloc  9 636
113800 realloc  6 60c 641
118186 malloc  28 649
122742 malloc  4 60c
127245 malloc  9 667
133154 realloc  8 641 672
137542 malloc  28 67c
142120 malloc  4 641
146625 malloc  7 69a
152756 realloc  10 672 6a3
157146 malloc  28 6af
161721 malloc  4 676
166247 malloc  7 6cd
172472 realloc  12 6a3 6d6
176879 malloc  28 6e4
184127 realloc  14 6d6 702
188551 malloc  28 712
192955 malloc  10 6a3
199833 realloc  16 702 730
204257 malloc  28 742
208714 malloc  10 6d6
215608 realloc  18 730 760
220032 malloc  28 774
224484 malloc  10 706
231470 realloc  20 760 792
235915 malloc  28 7a8
240386 malloc  10 736
248939 malloc  120 7c6
267419 malloc  10 768
273336 realloc  4 0 730
279419 realloc  8 730 840
285363 realloc  12 840 840
291307 realloc  16 840 840
297251 realloc  20 840 840
303195 realloc  24 840 840
309139 realloc  28 840 840
314904 realloc  32 840 840
325761 malloc  192 862
335328 malloc  256 924
431737 free  924
436600 malloc  256 924
633570 free  924
638433 malloc  256 924
4412024 free  924
4416887 malloc  256 924
4984100 free  924
4988967 malloc  256 924
5090701 free  924
5095435 malloc  256 924
9109627 free  924
9164706 malloc  128 0
9169114 malloc  128 80
