cycles,usage
12459,1068
16842,1103
22038,1109
26796,1117
31867,1126
37937,1136
44466,1140
49190,1177
54370,1179
58705,1207
63272,1211
67998,1240
74131,1242
78500,1270
83078,1274
87583,1281
93442,1283
97830,1311
104712,1313
109117,1341
113562,1351
120394,1353
124818,1381
129282,1391
136208,1393
140653,1421
145095,1431
153631,1536
168819,1540
174756,1544
181027,1548
186947,1552
192867,1556
198787,1560
204528,1564
215366,1756
222855,2012
320301,1756
325147,2012
539007,1756
543853,2012
863676,1756
868526,2012
971981,1756
976698,2012
1329669,1756
1362387,2780
