cycle func size addr
12459 malloc  4 518
16842 malloc  35 51e
22038 malloc  6 543
26796 malloc  8 54b
31867 malloc  9 555
37937 malloc  10 560
44466 malloc  4 56c
49190 malloc  37 572
54370 malloc  2 599
58705 malloc  28 59d
63272 malloc  4 5bb
67998 malloc  29 5c1
74131 realloc  4 599 5e0
78500 malloc  28 5e6
83078 malloc  4 604
87583 malloc  7 60a
93442 realloc  6 5e0 613
97830 malloc  28 61b
104712 realloc  8 613 639
109117 malloc  28 643
113562 malloc  10 661
120394 realloc  10 639 66d
124818 malloc  28 679
129282 malloc  10 697
136208 realloc  12 66d 6a3
140653 malloc  28 6b1
145095 malloc  10 66d
153631 malloc  105 6cf
168819 realloc  4 0 5e0
174756 realloc  8 5e0 639
181027 realloc  12 639 73a
186947 realloc  16 73a 73a
192867 realloc  20 73a 73a
198787 realloc  24 73a 73a
204528 realloc  28 73a 73a
215366 malloc  192 758
222855 malloc  256 81a
320301 free  81a
325147 malloc  256 81a
539007 free  81a
543853 malloc  256 81a
863676 free  81a
868526 malloc  256 81a
971981 free  81a
976698 malloc  256 81a
1329669 free  81a
1362387 malloc  1024 0
