cycle func size addr
11336 malloc  6 4dc
15146 malloc  29 4e4
20106 malloc  2 503
24401 malloc  7 507
30015 malloc  4 510
34263 malloc  37 516
38664 malloc  2 53d
42406 malloc  26 541
46482 malloc  4 55d
50730 malloc  29 563
56158 realloc  4 53d 582
59932 malloc  26 588
66490 realloc  6 582 5a4
70287 malloc  26 5ac
73828 malloc  2 53d
79661 realloc  8 5a4 5c8
83456 malloc  26 5d2
87051 malloc  2 582
93142 realloc  10 5c8 5ee
96939 malloc  26 5fa
100535 malloc  2 5a8
109244 malloc  119 616
125106 realloc  4 0 5cc
130590 realloc  8 5cc 68f
135991 realloc  12 68f 68f
141392 realloc  16 68f 68f
146793 realloc  20 68f 68f
152194 realloc  24 68f 68f
157390 realloc  28 68f 68f
167241 malloc  192 6ad
173790 malloc  256 76f
270740 free  76f
274976 malloc  256 76f
374528 free  76f
378764 malloc  256 76f
477660 free  76f
481913 malloc  256 76f
582983 free  76f
