cycles,usage
11336,1070
15146,1099
20346,1111
24641,1119
30416,1129
36805,1136
41499,1144
46628,1153
52183,1162
59254,1166
63262,1173
67393,1175
71135,1201
75211,1205
79219,1212
84451,1214
88225,1240
92316,1244
96585,1281
102211,1283
106006,1309
110073,1313
114340,1342
119908,1344
123703,1370
127796,1374
131823,1383
137463,1385
141258,1411
145344,1415
149390,1424
155122,1426
158934,1452
165950,1454
169785,1480
173326,1482
179619,1484
183454,1510
186993,1512
193298,1514
197131,1540
200783,1542
207176,1544
211028,1570
214709,1572
221196,1574
225065,1600
228604,1602
235109,1604
238980,1630
242692,1632
249289,1634
253179,1660
256920,1662
263609,1664
267475,1690
271215,1692
280002,1930
313655,1944
319509,1948
325243,1952
330783,1956
336257,1960
342163,1964
348253,1968
354439,1972
360096,1976
365581,1980
371066,1984
376723,1988
382208,1992
387865,1996
393145,2000
403051,2192
413017,2448
511384,2192
515677,2448
751112,2192
755405,2448
1877453,2192
1881746,2448
2539408,2192
2543701,2448
2980691,2192
2984984,2448
3309061,2192
3313354,2448
3415566,2192
3419859,2448
4143497,2192
4147807,2448
6744438,2192
6792933,2320
6797778,2576
6802607,2704
6807452,2832
6843544,2960
