cycles,usage
11336,992
15146,1021
20346,1043
24883,1053
31272,1061
36805,1068
41501,1076
46868,1089
54375,1100
60786,1109
66583,1119
72806,1131
79885,1142
86702,1151
93775,1155
97785,1162
101918,1164
105662,1190
109740,1194
113750,1203
119004,1205
122780,1231
126873,1235
130900,1242
136256,1244
140049,1270
144118,1274
148145,1281
153515,1283
157308,1309
161399,1313
165666,1350
171560,1352
175353,1378
179441,1382
183729,1411
189645,1413
193461,1439
197568,1443
201635,1452
207463,1454
211294,1480
218398,1482
222248,1508
225791,1510
232170,1512
236020,1538
239561,1540
245958,1542
249810,1568
253492,1570
259905,1572
263757,1598
267440,1600
273945,1602
277816,1628
281528,1630
288125,1632
292013,1658
295757,1660
302368,1662
306215,1688
309925,1690
315865,1692
319734,1718
323446,1720
330089,1722
333955,1748
337673,1750
343617,1752
347488,1778
351201,1781
358031,1783
361880,1809
365599,1812
371746,1814
375596,1840
379281,1843
386141,1845
389992,1871
393708,1874
399875,1876
403746,1902
407467,1905
414357,1907
418204,1933
421916,1936
428087,1938
431958,1964
435671,1967
442595,1969
446444,1995
450160,1998
456331,2000
460204,2026
463918,2029
470950,2031
474820,2057
478566,2060
484737,2062
488610,2088
492324,2091
499390,2093
503258,2119
506999,2122
513202,2124
517049,2150
520761,2153
526936,2155
530807,2181
534350,2184
541390,2186
545241,2212
548955,2215
558161,2725
637069,2753
643663,2757
649623,2761
655790,2765
661966,2769
668183,2773
674282,2777
680528,2781
686217,2785
691906,2789
697595,2793
703284,2797
708973,2801
714662,2805
720351,2809
726040,2813
731729,2817
737418,2821
743107,2825
748796,2829
754485,2833
760174,2837
765863,2841
771552,2845
777241,2849
782998,2853
788755,2857
794684,2861
800441,2865
806370,2869
811922,2873
821853,3065
832666,3321
929922,3065
934234,3321
2071615,3065
2075927,3321
3090730,3065
3095042,3321
4709549,3065
4713861,3321
5635231,3065
5639543,3321
6205157,3065
6209469,3321
6880924,3065
6885236,3321
7216333,3065
7220645,3321
7894682,3065
7898994,3321
8322623,3065
8326935,3321
8681898,3065
8686210,3321
10276877,3065
10281189,3321
10966586,3065
10970898,3321
11914626,3065
11918938,3321
12365842,3065
12370154,3321
12950135,3065
12954447,3321
15253068,3065
15257380,3321
15505364,3065
15509676,3321
16683543,3065
16687855,3321
17366396,3065
17370708,3321
17827387,3065
17831699,3321
18164755,3065
18169067,3321
18512344,3065
18516656,3321
19296455,3065
19300784,3321
33767849,3065
33827016,3193
33831200,3449
33835368,3577
33839554,3705
33843474,3769
33877866,3897
97279832,4025
97283666,4089
97287502,4153
97291576,4409
97295650,4665
97299726,4921
