cycles,usage
12459,1068
16842,1103
22038,1111
26796,1119
31867,1128
37937,1139
44419,1149
50948,1153
55672,1190
60854,1192
65191,1220
69758,1224
74484,1253
80621,1255
84990,1283
89568,1287
94071,1294
99932,1296
104320,1324
111202,1326
115607,1354
120052,1364
126884,1366
131308,1394
135774,1404
142700,1406
147145,1434
151587,1444
158531,1446
162978,1474
167444,1484
175978,1589
193766,1593
199705,1597
205974,1601
211890,1605
217806,1609
223722,1613
229459,1617
240295,1809
247782,2065
344884,1809
349728,2065
1011144,1809
1015988,2065
1667790,1809
1672634,2065
1907956,1809
1912804,2065
2016447,1809
2021162,2065
3285865,1809
3318341,2209
