cycle func size addr
11336 malloc  6 4dc
15146 malloc  29 4e4
20106 malloc  8 503
24403 malloc  7 50d
29097 malloc  8 516
34870 malloc  10 520
40855 malloc  9 52c
47330 malloc  4 537
51580 malloc  37 53d
55979 malloc  2 564
59721 malloc  26 568
63795 malloc  4 584
68045 malloc  29 58a
73473 realloc  4 564 5a9
77251 malloc  26 5af
81344 malloc  4 5cb
85373 malloc  7 5d1
90729 realloc  6 5a9 5da
94524 malloc  26 5e2
101180 realloc  8 5da 5fe
104992 malloc  26 608
108531 malloc  2 564
114696 realloc  10 5fe 624
118508 malloc  26 630
122134 malloc  2 5a9
128313 realloc  12 624 64c
132127 malloc  26 65a
135754 malloc  2 5de
142025 realloc  14 64c 676
145856 malloc  26 686
149399 malloc  2 5da
158129 malloc  119 6a2
178020 realloc  4 0 602
183546 realloc  8 602 624
189222 realloc  12 624 64c
194988 realloc  16 64c 71b
200417 realloc  20 71b 71b
205846 realloc  24 71b 71b
211070 realloc  28 71b 71b
220936 malloc  192 739
228310 malloc  256 7fb
326583 free  7fb
330840 malloc  256 7fb
995767 free  7fb
1000024 malloc  256 7fb
1564139 free  7fb
1568396 malloc  256 7fb
1889761 free  7fb
1894035 malloc  256 7fb
3111255 free  7fb
3147423 malloc  400 0
