Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0          2770  [avrora.trace]trace disabled --------------------------0
   0         12641  [avrora.c-print] 11       sys | malloc 4 52c
   0         17012  [avrora.c-print] 11       sys | malloc 35 532
   0         22137  [avrora.c-print] 11       sys | malloc 8 557
   0         26834  [avrora.c-print] 11       sys | malloc 8 561
   0         31830  [avrora.c-print] 11       sys | malloc 9 56b
   0         37768  [avrora.c-print] 11       sys | malloc 11 576
   0         44096  [avrora.c-print] 11       sys | malloc 10 583
   0         50463  [avrora.c-print] 11       sys | malloc 4 58f
   0         55169  [avrora.c-print] 11       sys | malloc 37 595
   0         60321  [avrora.c-print] 11       sys | malloc 2 5bc
   0         64656  [avrora.c-print] 11       sys | malloc 28 5c0
   0         69206  [avrora.c-print] 11       sys | malloc 4 5de
   0         73914  [avrora.c-print] 11       sys | malloc 29 5e4
   0         80018  [avrora.c-print] 11       sys | realloc 4 5bc 603
   0         84384  [avrora.c-print] 11       sys | malloc 28 609
   0         88945  [avrora.c-print] 11       sys | malloc 4 627
   0         93432  [avrora.c-print] 11       sys | malloc 7 62d
   0         99258  [avrora.c-print] 11       sys | realloc 6 603 636
   0        103645  [avrora.c-print] 11       sys | malloc 28 63e
   0        110450  [avrora.c-print] 11       sys | realloc 8 636 65c
   0        114854  [avrora.c-print] 11       sys | malloc 28 666
   0        119299  [avrora.c-print] 11       sys | malloc 10 684
   0        126114  [avrora.c-print] 11       sys | realloc 10 65c 690
   0        130539  [avrora.c-print] 11       sys | malloc 28 69c
   0        135007  [avrora.c-print] 11       sys | malloc 10 6ba
   0        141914  [avrora.c-print] 11       sys | realloc 12 690 6c6
   0        146358  [avrora.c-print] 11       sys | malloc 28 6d4
   0        150798  [avrora.c-print] 11       sys | malloc 10 690
   0        157723  [avrora.c-print] 11       sys | realloc 14 6c6 6f2
   0        162165  [avrora.c-print] 11       sys | malloc 28 702
