cycles,usage
12641,1068
17012,1103
22377,1115
27074,1123
32070,1132
37770,1141
43374,1152
50036,1164
56728,1175
63459,1179
68167,1216
73319,1218
77656,1246
82206,1250
86912,1279
93016,1281
97382,1309
101943,1313
106430,1320
112256,1322
116643,1350
121180,1354
125667,1363
131545,1365
135932,1393
142995,1395
147401,1423
151848,1433
158683,1435
163108,1463
167533,1473
174382,1475
178807,1503
183254,1513
190119,1515
194544,1543
198986,1553
205943,1555
210385,1583
214846,1593
221895,1595
226358,1623
230838,1633
239229,1768
260182,1788
266559,1792
272582,1796
278957,1800
284901,1804
290845,1808
296789,1812
302733,1816
308677,1820
314436,1824
319503,2016
327902,2272
435098,2016
439985,2272
1837377,2016
1842264,2272
4090755,2016
4095642,2272
5635328,2016
5640215,2272
5862534,2016
5867421,2272
7357601,2016
7362478,2272
7465795,2016
7470550,2272
9393025,2016
9460853,2020
9465224,2055
9470589,2067
9475286,2075
9480282,2084
9485982,2093
9491586,2104
9498248,2116
9504940,2127
9511671,2131
9516379,2168
9523013,2170
9527381,2198
9531924,2202
9536649,2231
9543213,2233
9547598,2261
9552170,2265
9556669,2272
9562897,2274
9567282,2302
9571854,2306
9576348,2315
9582704,2317
9587112,2345
9594413,2347
9598795,2375
9603230,2385
9609670,2387
9614078,2415
9618516,2425
9625451,2427
9629835,2455
9634258,2465
9640694,2467
9645098,2495
9649523,2505
9656791,2507
9661192,2535
9665656,2545
9673014,2547
9677436,2575
9681923,2585
9690526,2720
9711458,2740
9717859,2744
9723738,2748
9730057,2752
9735977,2756
9741897,2760
9747817,2764
9753737,2768
9759657,2772
9765392,2776
9770440,2968
