cycle func size addr
11336 malloc  6 4dc
15146 malloc  29 4e4
20346 malloc  12 503
24641 malloc  7 511
29337 malloc  8 51a
35110 malloc  10 524
41499 malloc  8 530
46868 malloc  11 53a
53519 malloc  10 547
60422 malloc  4 553
64670 malloc  37 559
69069 malloc  2 580
72811 malloc  26 584
76887 malloc  4 5a0
81137 malloc  29 5a6
86565 realloc  4 580 5c5
90343 malloc  26 5cb
94434 malloc  4 5e7
98465 malloc  7 5ed
103819 realloc  6 5c5 5f6
107616 malloc  26 5fe
111683 malloc  4 5c5
115712 malloc  7 61a
121080 realloc  8 5f6 623
124875 malloc  26 62d
128966 malloc  4 5f6
132993 malloc  9 649
138633 realloc  10 623 654
142426 malloc  26 660
149348 realloc  12 654 67c
153162 malloc  26 68a
156701 malloc  2 580
162898 realloc  14 67c 6a6
166712 malloc  26 6b6
170335 malloc  2 629
176624 realloc  16 6a6 6d2
180457 malloc  26 6e4
184110 malloc  2 623
190413 realloc  18 6d2 700
194244 malloc  26 714
197898 malloc  2 65c
204291 realloc  20 700 730
208141 malloc  26 746
211822 malloc  2 658
218307 realloc  22 730 762
222178 malloc  26 77a
225717 malloc  2 654
234483 malloc  153 796
259828 malloc  28 831
266384 realloc  4 0 684
272070 realloc  8 684 6ac
277868 realloc  12 6ac 67c
283570 realloc  16 67c 6d2
289456 realloc  20 6d2 730
295436 realloc  24 730 84f
300921 realloc  28 84f 84f
306406 realloc  32 84f 84f
311686 realloc  36 84f 84f
321592 malloc  192 875
330692 malloc  256 937
425675 free  937
429966 malloc  256 937
982826 free  937
987117 malloc  256 937
1869658 free  937
1873949 malloc  256 937
2526177 free  937
2530468 malloc  256 937
2647307 free  937
2651598 malloc  256 937
2885171 free  937
2889479 malloc  256 937
4712722 free  937
4770211 malloc  1024 660
