Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../app/benchmark/lec.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          6000  [avrora.c-print] 0 R0:FF R1:00 R2:00 R3:00 R4:00 R5:00 R6:00 R7:00 R8:00 R9:00 R10:00 R11:00 R12:00 R13:00 R14:00 R15:00 R16:00 R17:03 R18:03 R19:00 R20:00 R21:00 R22:00 R23:00 R24:00 R25:00 R26:C2 R27:03 R28:FF R29:10 R30:3C R31:0E 
   0          6030  [avrora.trace]trace disabled --------------------------0
   0         12381  [avrora.trace]trace enabled ---------------------------1
   0        119106  [avrora.trace]trace disabled --------------------------0
   0        120426  [avrora.c-print] 11 252
   0        121493  [avrora.c-print] 11 22
   0        122802  [avrora.c-print] 11 145
   0        124111  [avrora.c-print] 11 203
   0        125420  [avrora.c-print] 11 167
   0        126729  [avrora.c-print] 11 109
   0        128038  [avrora.c-print] 11 217
   0        129347  [avrora.c-print] 11 134
   0        130656  [avrora.c-print] 11 180
   0        131965  [avrora.c-print] 11 212
   0        133274  [avrora.c-print] 11 170
   0        134583  [avrora.c-print] 11 212
   0        135892  [avrora.c-print] 11 163
   0        137201  [avrora.c-print] 11 127
   0        138510  [avrora.c-print] 11 106
   0        139577  [avrora.c-print] 11 33
   0        140886  [avrora.c-print] 11 181
   0        142195  [avrora.c-print] 11 110
   0        143504  [avrora.c-print] 11 174
   0        144813  [avrora.c-print] 11 236
   0        145880  [avrora.c-print] 11 89
   0        147189  [avrora.c-print] 11 115
   0        148498  [avrora.c-print] 11 216
   0        149807  [avrora.c-print] 11 232
   0        150874  [avrora.c-print] 11 39
   0        151941  [avrora.c-print] 11 49
   0        153250  [avrora.c-print] 11 184
   0        154317  [avrora.c-print] 11 76
   0        155384  [avrora.c-print] 11 77
   0        156693  [avrora.c-print] 11 189
   0        158002  [avrora.c-print] 11 140
   0        159311  [avrora.c-print] 11 254
   0        160378  [avrora.c-print] 11 94
   0        161687  [avrora.c-print] 11 247
   0        162754  [avrora.c-print] 11 66
   0        164063  [avrora.c-print] 11 237
   0        165130  [avrora.c-print] 11 75
   0        166439  [avrora.c-print] 11 102
   0        167506  [avrora.c-print] 11 44
   0        168815  [avrora.c-print] 11 218
   0        170124  [avrora.c-print] 11 219
   0        171191  [avrora.c-print] 11 84
   0        172500  [avrora.c-print] 11 249
   0        173567  [avrora.c-print] 11 77
   0        174634  [avrora.c-print] 11 41
   0        175943  [avrora.c-print] 11 202
   0        177252  [avrora.c-print] 11 121
   0        178561  [avrora.c-print] 11 115
   0        179870  [avrora.c-print] 11 233
   0        180937  [avrora.c-print] 11 71
   0        182004  [avrora.c-print] 11 77
   0        183071  [avrora.c-print] 11 98
   0        184380  [avrora.c-print] 11 138
   0        185689  [avrora.c-print] 11 190
   0        186998  [avrora.c-print] 11 198
   0        188307  [avrora.c-print] 11 164
   0        189374  [avrora.c-print] 11 86
   0        190683  [avrora.c-print] 11 153
   0        191750  [avrora.c-print] 11 78
   0        193059  [avrora.c-print] 11 246
   0        194368  [avrora.c-print] 11 132
   0        195677  [avrora.c-print] 11 176
   0        196986  [avrora.c-print] 11 113
   0        198295  [avrora.c-print] 11 113
   0        199604  [avrora.c-print] 11 111
   0        200913  [avrora.c-print] 11 214
   0        202222  [avrora.c-print] 11 135
   0        203289  [avrora.c-print] 11 94
   0        204598  [avrora.c-print] 11 213
   0        205665  [avrora.c-print] 11 57
   0        206974  [avrora.c-print] 11 166
   0        208041  [avrora.c-print] 11 88
   0        209350  [avrora.c-print] 11 170
   0        210659  [avrora.c-print] 11 216
   0        211968  [avrora.c-print] 11 191
   0        213277  [avrora.c-print] 11 173
   0        214586  [avrora.c-print] 11 191
   0        215895  [avrora.c-print] 11 200
   0        217204  [avrora.c-print] 11 234
   0        218513  [avrora.c-print] 11 247
   0        219580  [avrora.c-print] 11 28
   0        220647  [avrora.c-print] 11 21
   0        221714  [avrora.c-print] 11 27
   0        222781  [avrora.c-print] 11 87
   0        224090  [avrora.c-print] 11 105
   0        225399  [avrora.c-print] 11 243
   0        226466  [avrora.c-print] 11 93
   0        227533  [avrora.c-print] 11 79
   0        228842  [avrora.c-print] 11 101
   0        230151  [avrora.c-print] 11 110
   0        231460  [avrora.c-print] 11 149
   0        232769  [avrora.c-print] 11 203
   0        233836  [avrora.c-print] 11 89
   0        235145  [avrora.c-print] 11 187
   0        236454  [avrora.c-print] 11 214
   0        237763  [avrora.c-print] 11 169
   0        238830  [avrora.c-print] 11 93
   0        240139  [avrora.c-print] 11 180
   0        241448  [avrora.c-print] 11 216
   0        242757  [avrora.c-print] 11 112
   0        243824  [avrora.c-print] 11 44
   0        245133  [avrora.c-print] 11 244
   0        246442  [avrora.c-print] 11 114
   0        247751  [avrora.c-print] 11 183
   0        249060  [avrora.c-print] 11 157
   0        250369  [avrora.c-print] 11 233
   0        251678  [avrora.c-print] 11 186
   0        252745  [avrora.c-print] 11 58
   0        253812  [avrora.c-print] 11 41
   0        255121  [avrora.c-print] 11 137
   0        256430  [avrora.c-print] 11 210
   0        257739  [avrora.c-print] 11 247
   0        258806  [avrora.c-print] 11 51
   0        259873  [avrora.c-print] 11 54
   0        260940  [avrora.c-print] 11 13
   0        262249  [avrora.c-print] 11 244
   0        263558  [avrora.c-print] 11 199
   0        264867  [avrora.c-print] 11 162
   0        266176  [avrora.c-print] 11 203
   0        267243  [avrora.c-print] 11 57
   0        268552  [avrora.c-print] 11 250
   0        269861  [avrora.c-print] 11 134
   0        271170  [avrora.c-print] 11 173
   0        272479  [avrora.c-print] 11 200
   0        273546  [avrora.c-print] 11 54
   0        274613  [avrora.c-print] 11 42
   0        275922  [avrora.c-print] 11 237
   0        277231  [avrora.c-print] 11 220
   0        278540  [avrora.c-print] 11 146
   0        279607  [avrora.c-print] 11 71
   0        280916  [avrora.c-print] 11 233
   0        281983  [avrora.c-print] 11 89
   0        283292  [avrora.c-print] 11 233
   0        284601  [avrora.c-print] 11 234
   0        285910  [avrora.c-print] 11 102
   0        287219  [avrora.c-print] 11 231
   0        288528  [avrora.c-print] 11 107
   0        289837  [avrora.c-print] 11 238
   0        290904  [avrora.c-print] 11 85
   0        292213  [avrora.c-print] 11 171
   0        293522  [avrora.c-print] 11 231
   0        294831  [avrora.c-print] 11 153
   0        296140  [avrora.c-print] 11 157
   0        297449  [avrora.c-print] 11 143
   0        298758  [avrora.c-print] 11 161
   0        300067  [avrora.c-print] 11 113
   0        301134  [avrora.c-print] 11 60
   0        302443  [avrora.c-print] 11 231
   0        303510  [avrora.c-print] 11 87
   0        304577  [avrora.c-print] 11 69
   0        305886  [avrora.c-print] 11 122
   0        306953  [avrora.c-print] 11 30
   0        308262  [avrora.c-print] 11 171
   0        309329  [avrora.c-print] 11 86
   0        310638  [avrora.c-print] 11 159
   0        311705  [avrora.c-print] 11 39
   0        312772  [avrora.c-print] 11 71
   0        313839  [avrora.c-print] 11 87
   0        315148  [avrora.c-print] 11 160
   0        316457  [avrora.c-print] 11 231
   0        317766  [avrora.c-print] 11 243
   0        318833  [avrora.c-print] 11 93
   0        320142  [avrora.c-print] 11 144
   0        321451  [avrora.c-print] 11 202
   0        322760  [avrora.c-print] 11 157
   0        323827  [avrora.c-print] 11 85
   0        325136  [avrora.c-print] 11 243
   0        326203  [avrora.c-print] 11 90
   0        327270  [avrora.c-print] 11 44
   0        328579  [avrora.c-print] 11 186
   0        329888  [avrora.c-print] 11 169
   0        330955  [avrora.c-print] 11 28
   0        332022  [avrora.c-print] 11 85
   0        333331  [avrora.c-print] 11 109
   0        334640  [avrora.c-print] 11 230
   0        335949  [avrora.c-print] 11 229
   0        337258  [avrora.c-print] 11 213
   0        338325  [avrora.c-print] 11 44
   0        339634  [avrora.c-print] 11 205
   0        340943  [avrora.c-print] 11 177
   0        342252  [avrora.c-print] 11 159
   0        343319  [avrora.c-print] 11 19
   0        344628  [avrora.c-print] 11 235
   0        345937  [avrora.c-print] 11 211
   0        347246  [avrora.c-print] 11 131
   0        348313  [avrora.c-print] 11 75
   0        349622  [avrora.c-print] 11 110
   0        350689  [avrora.c-print] 11 37
   0        351998  [avrora.c-print] 11 173
   0        353307  [avrora.c-print] 11 193
   0        354616  [avrora.c-print] 11 105
   0        355683  [avrora.c-print] 11 20
   0        356992  [avrora.c-print] 11 246
   0        358301  [avrora.c-print] 11 185
   0        359610  [avrora.c-print] 11 222
   0        360919  [avrora.c-print] 11 125
   0        362228  [avrora.c-print] 11 214
   0        363295  [avrora.c-print] 11 40
   0        364604  [avrora.c-print] 11 221
   0        365913  [avrora.c-print] 11 124
   0        366980  [avrora.c-print] 11 51
   0        368289  [avrora.c-print] 11 212
   0        369598  [avrora.c-print] 11 172
   0        370907  [avrora.c-print] 11 227
   0        371974  [avrora.c-print] 11 35
   0        373283  [avrora.c-print] 11 117
   0        374592  [avrora.c-print] 11 216
   0        375901  [avrora.c-print] 11 176
   0        377210  [avrora.c-print] 11 233
   0        378519  [avrora.c-print] 11 107
   0        379828  [avrora.c-print] 11 114
   0        380895  [avrora.c-print] 11 77
   0        382204  [avrora.c-print] 11 209
   0        383513  [avrora.c-print] 11 202
   0        384822  [avrora.c-print] 11 167
   0        385889  [avrora.c-print] 11 13
   0        386956  [avrora.c-print] 11 43
   0        388265  [avrora.c-print] 11 122
   0        389332  [avrora.c-print] 11 82
   0        390641  [avrora.c-print] 11 227
   0        391708  [avrora.c-print] 11 77
   0        393017  [avrora.c-print] 11 214
   0        394326  [avrora.c-print] 11 203
   0        395635  [avrora.c-print] 11 205
   0        396944  [avrora.c-print] 11 112
   0        398253  [avrora.c-print] 11 123
   0        399320  [avrora.c-print] 11 27
   0        400629  [avrora.c-print] 11 180
   0        401938  [avrora.c-print] 11 243
   0        403005  [avrora.c-print] 11 64
==============================================================================
Simulated time: 403066 cycles
=={ Trace results for node 0 }================================================
Instructions executed: 74897 
Program throughput: 0.18581821 instrs/cycle
Program throughput: 1.4865457 mips
sbci	1536
sub	1857
dec	4930
sbiw	833
eor	238
lsr	1927
movw	6108
pop	4352
cpse	256
breq	2286
ror	3717
mov	1006
and	1233
cpc	1791
brcc	485
subi	2814
ret	769
add	3560
adc	5302
st	1711
std	1256
brpl	4930
or	977
rcall	512
in	512
sbrs	256
cp	2276
ldd	3166
push	3328
rjmp	3143
ldi	2515
call	769
sts	1
sbc	877
brlt	246
ld	3193
adiw	229

