Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0          2770  [avrora.trace]trace disabled --------------------------0
   0         12641  [avrora.c-print] 11       sys | malloc 4 52c
   0         17012  [avrora.c-print] 11       sys | malloc 35 532
   0         22377  [avrora.c-print] 11       sys | malloc 12 557
   0         27074  [avrora.c-print] 11       sys | malloc 8 565
   0         32070  [avrora.c-print] 11       sys | malloc 9 56f
   0         37770  [avrora.c-print] 11       sys | malloc 9 57a
   0         43374  [avrora.c-print] 11       sys | malloc 11 585
   0         50036  [avrora.c-print] 11       sys | malloc 12 592
   0         56728  [avrora.c-print] 11       sys | malloc 11 5a0
   0         63459  [avrora.c-print] 11       sys | malloc 4 5ad
   0         68167  [avrora.c-print] 11       sys | malloc 37 5b3
   0         73319  [avrora.c-print] 11       sys | malloc 2 5da
   0         77656  [avrora.c-print] 11       sys | malloc 28 5de
   0         82206  [avrora.c-print] 11       sys | malloc 4 5fc
   0         86912  [avrora.c-print] 11       sys | malloc 29 602
   0         93016  [avrora.c-print] 11       sys | realloc 4 5da 621
   0         97382  [avrora.c-print] 11       sys | malloc 28 627
   0        101943  [avrora.c-print] 11       sys | malloc 4 645
   0        106430  [avrora.c-print] 11       sys | malloc 7 64b
   0        112256  [avrora.c-print] 11       sys | realloc 6 621 654
   0        116643  [avrora.c-print] 11       sys | malloc 28 65c
   0        121180  [avrora.c-print] 11       sys | malloc 4 621
   0        125667  [avrora.c-print] 11       sys | malloc 9 67a
   0        131545  [avrora.c-print] 11       sys | realloc 8 654 685
   0        135932  [avrora.c-print] 11       sys | malloc 28 68f
   0        142995  [avrora.c-print] 11       sys | realloc 10 685 6ad
   0        147401  [avrora.c-print] 11       sys | malloc 28 6b9
   0        151848  [avrora.c-print] 11       sys | malloc 10 6d7
   0        158683  [avrora.c-print] 11       sys | realloc 12 6ad 6e3
   0        163108  [avrora.c-print] 11       sys | malloc 28 6f1
   0        167533  [avrora.c-print] 11       sys | malloc 10 6ad
   0        174382  [avrora.c-print] 11       sys | realloc 14 6e3 70f
   0        178807  [avrora.c-print] 11       sys | malloc 28 71f
   0        183254  [avrora.c-print] 11       sys | malloc 10 6e3
   0        190119  [avrora.c-print] 11       sys | realloc 16 70f 73d
   0        194544  [avrora.c-print] 11       sys | malloc 28 74f
   0        198986  [avrora.c-print] 11       sys | malloc 10 713
   0        205943  [avrora.c-print] 11       sys | realloc 18 73d 76d
   0        210385  [avrora.c-print] 11       sys | malloc 28 781
   0        214846  [avrora.c-print] 11       sys | malloc 10 743
   0        221895  [avrora.c-print] 11       sys | realloc 20 76d 79f
   0        226358  [avrora.c-print] 11       sys | malloc 28 7b5
   0        230838  [avrora.c-print] 11       sys | malloc 10 775
   0        239229  [avrora.c-print] 11       sys | malloc 135 7d3
   0        260182  [avrora.c-print] 11       sys | malloc 20 85c
   0        266559  [avrora.c-print] 11       sys | realloc 4 0 73d
   0        272582  [avrora.c-print] 11       sys | realloc 8 73d 685
   0        278957  [avrora.c-print] 11       sys | realloc 12 685 872
   0        284901  [avrora.c-print] 11       sys | realloc 16 872 872
   0        290845  [avrora.c-print] 11       sys | realloc 20 872 872
   0        296789  [avrora.c-print] 11       sys | realloc 24 872 872
   0        302733  [avrora.c-print] 11       sys | realloc 28 872 872
   0        308677  [avrora.c-print] 11       sys | realloc 32 872 872
   0        314436  [avrora.c-print] 11       sys | realloc 36 872 872
   0        319503  [avrora.c-print] 11       sys | malloc 192 898
   0        327902  [avrora.c-print] 11       sys | malloc 256 95a
   0        341300  [avrora.c-print] 11      emit | [END]:0x7596
   0        344217  [avrora.c-print] 11      emit | func end
   0        346636  [avrora.c-print] 11      emit | ret
   0        432970  [avrora.c-print] 11       sys | free 95a
   0        437857  [avrora.c-print] 11       sys | malloc 256 95a
   0        452773  [avrora.c-print] 11      emit | [GLOBAL.GET 0]
   0        457870  [avrora.c-print] 11      emit | Load R22. from global[0]
   0        461075  [avrora.c-print] 11      emit | push32
   0        464073  [avrora.c-print] 11      emit | s: 1
   0        468596  [avrora.c-print] 11      emit | [I32.CONST 16]
   0        472793  [avrora.c-print] 11      emit | load 16 to R22.
   0        475759  [avrora.c-print] 11      emit | push32
   0        478757  [avrora.c-print] 11      emit | s: 2
   0        481947  [avrora.c-print] 11      emit | [I32.SUB]
   0        485727  [avrora.c-print] 11      emit | s: 1
   0        489960  [avrora.c-print] 11      emit | [LOCAL.TEE 3]
   0        493674  [avrora.c-print] 11      emit | pop32 to R22...
   0        499026  [avrora.c-print] 11      emit | Store R22... to local[0]
   0        502070  [avrora.c-print] 11      emit | push32
   0        507302  [avrora.c-print] 11      emit | [GLOBAL.SET 0]
   0        510784  [avrora.c-print] 11      emit | pop32 to R22.
   0        516004  [avrora.c-print] 11      emit | Store R22. to global[0]
   0        519310  [avrora.c-print] 11      emit | s: 0
   0        523613  [avrora.c-print] 11      emit | [CALL 0]
   0        530747  [avrora.c-print] 11      emit | call func rtc_startBenchmarkMeasurement_Native
   0        535095  [avrora.c-print] 11      emit | [LOCAL.GET 3]
   0        539860  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0        542904  [avrora.c-print] 11      emit | push32
   0        545904  [avrora.c-print] 11      emit | s: 1
   0        550137  [avrora.c-print] 11      emit | [LOCAL.GET 2]
   0        555149  [avrora.c-print] 11      emit | Ld R22. from param[16]
   0        558196  [avrora.c-print] 11      emit | push32
   0        561196  [avrora.c-print] 11      emit | s: 2
   0        565923  [avrora.c-print] 11      emit | [I32.STORE 12]
   0        569883  [avrora.c-print] 11      emit | pop32 val to R22.
   0        574416  [avrora.c-print] 11      emit | pop32 offset to R18.
   0        581304  [avrora.c-print] 11      emit | push/pop optimized
   0        586229  [avrora.c-print] 11      emit | push/pop optimized
