cycles,usage
12041,990
16508,1025
22030,1037
27110,1048
33800,1057
39714,1065
44871,1074
50659,1085
57223,1095
64370,1099
68938,1106
73664,1108
78081,1136
82728,1140
87296,1149
93171,1151
97624,1179
102288,1183
106879,1190
112840,1192
117314,1220
121954,1224
126545,1231
132520,1233
136992,1261
141656,1265
146485,1302
153254,1304
157726,1332
162385,1336
167233,1365
173952,1367
178443,1395
183121,1399
187748,1408
194201,1410
198711,1438
206151,1440
210678,1468
215238,1478
222308,1480
226835,1508
231392,1518
238554,1520
243100,1548
247674,1558
254928,1560
259497,1588
264090,1598
271440,1600
276026,1628
280640,1638
288082,1640
292685,1668
297318,1678
304850,1680
309474,1708
314055,1718
322768,1943
351969,1953
358144,1957
364668,1961
371528,1965
378331,1969
385417,1973
392494,1977
399577,1981
405925,1985
412273,1989
418621,1993
424809,1997
431157,2001
437345,2005
443693,2009
449702,2013
460897,2205
471918,2461
567903,2205
572930,2461
