cycles,usage
12459,1068
16842,1103
22038,1111
26796,1119
31867,1128
37697,1137
43403,1150
51096,1154
55820,1191
61002,1193
65339,1221
69906,1225
74632,1254
80767,1256
85136,1284
89714,1288
94219,1295
100078,1297
104466,1325
109022,1329
113525,1338
119434,1340
123822,1368
130962,1370
135367,1398
139814,1408
146664,1410
151090,1438
155513,1448
162381,1450
166809,1478
171256,1488
179771,1593
196212,1597
202077,1601
208270,1605
214158,1609
220046,1613
225934,1617
231643,1621
242462,1813
250641,2069
345130,1813
349955,2069
1695720,1813
1700545,2069
2262146,1813
2266975,2069
2366219,1813
2370915,2069
3988026,1813
4020262,1893
4024910,3493
4029221,3573
