Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0          2770  [avrora.trace]trace disabled --------------------------0
   0         12615  [avrora.c-print] 11       sys | malloc 4 528
   0         16988  [avrora.c-print] 11       sys | malloc 35 52e
   0         22113  [avrora.c-print] 11       sys | malloc 8 553
   0         26812  [avrora.c-print] 11       sys | malloc 8 55d
   0         31806  [avrora.c-print] 11       sys | malloc 9 567
   0         37504  [avrora.c-print] 11       sys | malloc 9 572
   0         43110  [avrora.c-print] 11       sys | malloc 13 57d
   0         50563  [avrora.c-print] 11       sys | malloc 4 58c
   0         55269  [avrora.c-print] 11       sys | malloc 37 592
   0         60419  [avrora.c-print] 11       sys | malloc 2 5b9
   0         64756  [avrora.c-print] 11       sys | malloc 28 5bd
   0         69306  [avrora.c-print] 11       sys | malloc 4 5db
   0         74014  [avrora.c-print] 11       sys | malloc 29 5e1
   0         80116  [avrora.c-print] 11       sys | realloc 4 5b9 600
   0         84482  [avrora.c-print] 11       sys | malloc 28 606
   0         89043  [avrora.c-print] 11       sys | malloc 4 624
   0         93530  [avrora.c-print] 11       sys | malloc 7 62a
   0         99356  [avrora.c-print] 11       sys | realloc 6 600 633
   0        103743  [avrora.c-print] 11       sys | malloc 28 63b
   0        108280  [avrora.c-print] 11       sys | malloc 4 600
   0        112765  [avrora.c-print] 11       sys | malloc 9 659
   0        118643  [avrora.c-print] 11       sys | realloc 8 633 664
   0        123030  [avrora.c-print] 11       sys | malloc 28 66e
   0        130091  [avrora.c-print] 11       sys | realloc 10 664 68c
   0        134495  [avrora.c-print] 11       sys | malloc 28 698
   0        138942  [avrora.c-print] 11       sys | malloc 10 6b6
   0        145775  [avrora.c-print] 11       sys | realloc 12 68c 6c2
   0        150200  [avrora.c-print] 11       sys | malloc 28 6d0
   0        154623  [avrora.c-print] 11       sys | malloc 10 68c
   0        161474  [avrora.c-print] 11       sys | realloc 14 6c2 6ee
   0        165901  [avrora.c-print] 11       sys | malloc 28 6fe
   0        170348  [avrora.c-print] 11       sys | malloc 10 6c2
   0        178682  [avrora.c-print] 11       sys | malloc 105 71c
