cycles,usage
139,14200
168,15224
196,15320
224,15336
252,15345
279,15355
306,15367
333,15378
360,15382
396,15419
466,15471
501,15475
529,15482
556,15534
584,15538
610,15567
637,15619
664,15671
692,15723
743,15775
772,15827
800,15855
829,15883
856,15911
883,15939
910,15967
937,15995
964,16023
992,16030
1019,16023
1045,16041
1072,16050
1099,16090
1126,16097
1154,16110
1180,16097
1207,16108
1233,16097
1260,16111
1286,16097
1313,16109
1339,16097
1366,16111
1392,16097
1419,16110
1445,16097
1475,16513
1554,19669
1585,23669
1615,27765
1644,23765
1671,20609
1720,23765
1853,27765
1884,23765
1911,20609
1938,23765
1965,27765
1992,23765
2019,20609
2046,23765
2073,27765
2100,23765
2126,20609
2153,23765
2180,27765
2207,23765
2234,20609
2261,23765
2287,27765
2314,23765
2341,20609
2368,23765
2395,27765
2422,23765
2449,20609
2483,20619
2511,20609
2538,20618
2565,20609
2592,20618
2619,20609
2654,20633
2739,20641
2773,20649
2806,20685
2838,20693
2873,20701
3148,20697
3175,20660
3201,20656
3228,20649
3254,20645
3281,20616
3308,20598
3334,20590
3366,20581
3400,20545
3427,20505
3453,20481
3479,20474
3506,20110
3532,20094
3559,19898
3585,19802
3612,19794
3638,19786
3664,19778
3692,18754
3880,15598
3925,15587
3952,15575
3979,15565
4005,15556
4032,11460
4068,11460
